time,date,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-23T07:43:29.219Z,2020-06-23,0.0368,123.7866,109,6,mww,,22,1.475,0.9,us,us6000ah1z,2020-08-30T00:01:07.040Z,"97 km SE of Gorontalo, Indonesia",earthquake,5.7,1.9,0.049,40,reviewed,us,us
2020-06-22T14:29:12.430Z,2020-06-22,-33.7934,-178.1429,11.04,5.5,mww,,99,4.538,0.49,us,us6000agjg,2020-08-30T00:01:03.040Z,south of the Kermadec Islands,earthquake,8.5,4.7,0.048,42,reviewed,us,us
2020-06-19T10:07:56.035Z,2020-06-19,-17.4265,-178.9159,544.04,5.6,mww,,34,2.908,0.81,us,us6000aerr,2020-08-30T00:00:50.040Z,"200 km ENE of Levuka, Fiji",earthquake,10,4.2,0.093,11,reviewed,us,us
2020-06-18T16:11:39.955Z,2020-06-18,-33.2565,-177.9183,10,5.5,mb,,56,3.999,0.79,us,us6000aea8,2020-08-30T00:00:46.040Z,south of the Kermadec Islands,earthquake,7.9,1.7,0.04,221,reviewed,us,us
2020-06-18T15:06:15.598Z,2020-06-18,-33.1561,-177.9703,10,5.5,mb,,26,3.899,0.85,us,us6000ae7q,2020-08-30T00:00:45.040Z,south of the Kermadec Islands,earthquake,8,1.7,0.037,259,reviewed,us,us
2020-06-18T12:49:53.844Z,2020-06-18,-33.2927,-177.8571,10,7.4,mww,,23,4.035,0.86,us,us6000ae4n,2020-08-30T00:00:45.040Z,south of the Kermadec Islands,earthquake,7.9,1.7,0.041,56,reviewed,us,us
2020-06-10T04:29:20.674Z,2020-06-10,-23.4568,179.2275,541.31,5.9,mww,,22,5.788,0.79,us,us6000a93j,2020-08-22T19:14:41.040Z,south of the Fiji Islands,earthquake,9,3.4,0.059,28,reviewed,us,us
2020-06-09T04:56:10.343Z,2020-06-09,-4.2241,126.3437,10,5.7,mww,,27,4.766,0.84,us,us6000a89s,2020-08-18T17:59:09.040Z,"212 km WSW of Ambon, Indonesia",earthquake,6.2,1.8,0.068,21,reviewed,us,us
2020-06-07T20:06:38.760Z,2020-06-07,-5.3441,151.5995,47.78,5.9,mww,,27,1.275,1.35,us,us6000a7kv,2020-08-18T17:59:03.040Z,"New Britain region, Papua New Guinea",earthquake,3.2,3.3,0.046,46,reviewed,us,us
2020-06-07T14:43:24.234Z,2020-06-07,-10.6384,166.1781,20.49,5.7,mww,,62,4.883,0.85,us,us6000a7ig,2020-08-18T17:59:02.040Z,"42 km ENE of Lata, Solomon Islands",earthquake,7.1,3.1,0.065,23,reviewed,us,us
2020-06-07T14:36:56.704Z,2020-06-07,-10.6606,166.1838,13,5.8,mww,,41,4.86,1.12,us,us6000a7ic,2020-08-18T17:59:02.040Z,"42 km E of Lata, Solomon Islands",earthquake,7,1.9,0.058,29,reviewed,us,us
2020-06-06T10:55:41.996Z,2020-06-06,-16.7247,177.346,10,5.7,mww,,85,1.218,0.75,us,us6000a74v,2020-08-18T17:58:57.040Z,"96 km NNW of Ba, Fiji",earthquake,6.3,1.5,0.056,31,reviewed,us,us
2020-06-04T08:49:40.397Z,2020-06-04,2.911,128.248,112.86,6.4,mww,,20,2.3,0.86,us,us6000a5r3,2020-08-18T17:58:49.040Z,"133 km NNE of Tobelo, Indonesia",earthquake,6.4,4.7,0.055,32,reviewed,us,us
2020-06-03T15:54:04.610Z,2020-06-03,-7.0058,116.9276,639.88,5.7,mww,,24,3.111,1.02,us,usd000crm9,2020-08-18T17:58:45.040Z,"167 km NNW of Pototano, Indonesia",earthquake,7.7,2.8,0.056,31,reviewed,us,us
2020-06-03T09:31:35.257Z,2020-06-03,-24.6746,-176.7113,69.85,6,mww,,56,4.68,0.89,us,us6000a532,2020-08-18T17:58:45.040Z,south of the Fiji Islands,earthquake,8.7,4.3,0.089,12,reviewed,us,us
2020-05-31T23:25:43.545Z,2020-05-31,-23.9036,-176.6033,128,5.8,mww,,30,5.45,0.98,us,us6000a3cn,2020-08-15T20:19:59.040Z,south of the Fiji Islands,earthquake,7.7,1.8,0.047,44,reviewed,us,us
2020-05-30T13:06:24.005Z,2020-05-30,4.071,126.5197,28.61,5.6,mww,,46,3.122,0.84,us,us6000a2n5,2020-08-15T20:19:53.040Z,"188 km SE of Sarangani, Philippines",earthquake,6.3,3.2,0.054,33,reviewed,us,us
2020-05-27T07:09:09.853Z,2020-05-27,-17.5304,167.8743,9.73,6.2,mww,,27,3.932,1.24,us,us60009zv5,2020-08-15T20:19:36.040Z,"51 km WNW of Port-Vila, Vanuatu",earthquake,9.2,3,0.049,40,reviewed,us,us
2020-05-26T22:52:13.242Z,2020-05-26,-17.0404,167.7616,10.4,5.5,mww,,77,1.672,1.16,us,us60009zma,2020-08-08T18:17:33.040Z,"96 km NW of Port-Vila, Vanuatu",earthquake,5,3.6,0.047,44,reviewed,us,us
2020-05-24T19:53:32.262Z,2020-05-24,-40.3778,174.9573,46,5.6,mww,,30,0.551,1.1,us,us70009pku,2020-08-08T18:17:56.040Z,"30 km WNW of Foxton, New Zealand",earthquake,4.4,1.8,0.071,19,reviewed,us,us
2020-05-16T03:15:44.032Z,2020-05-16,-16.0561,168.0032,170.55,5.9,mww,,19,0.979,1.15,us,us70009hnm,2020-08-02T00:30:37.040Z,"62 km E of Lakatoro, Vanuatu",earthquake,6.6,2.9,0.047,44,reviewed,us,us
2020-05-12T22:41:12.177Z,2020-05-12,-12.0665,166.6485,107,6.6,mww,,12,3.403,1.12,us,us70009f12,2020-07-29T22:14:41.040Z,"175 km SSE of Lata, Solomon Islands",earthquake,7.5,1.8,0.05,39,reviewed,us,us
2020-05-11T01:06:18.743Z,2020-05-11,-6.0613,129.9115,10,5.7,mww,,15,2.353,0.92,us,us70009dvh,2020-07-29T22:14:29.040Z,Banda Sea,earthquake,5.6,1.5,0.061,26,reviewed,us,us
2020-05-07T11:21:20.152Z,2020-05-07,-4.4643,154.741,471.17,6.1,mww,,19,2.584,0.84,us,us70009bn4,2020-07-29T22:14:14.040Z,"215 km NNW of Arawa, Papua New Guinea",earthquake,8.9,5.7,0.036,76,reviewed,us,us
2020-05-06T13:53:55.940Z,2020-05-06,-6.7761,129.7852,96,6.8,mww,,16,1.921,0.76,us,us70009b14,2020-07-29T22:14:10.040Z,Banda Sea,earthquake,6.4,1.9,0.065,23,reviewed,us,us
2020-04-25T02:53:06.698Z,2020-04-25,-6.5337,154.2347,19,6.1,mww,,27,3.109,1.18,us,us60009c06,2020-07-11T22:19:00.040Z,"140 km W of Panguna, Papua New Guinea",earthquake,6.1,1.6,0.043,52,reviewed,us,us
2020-04-15T21:03:38.115Z,2020-04-15,1.1073,126.6767,41.39,5.7,mww,,24,0.766,0.78,us,us70008x2q,2020-07-09T14:31:08.040Z,"86 km WNW of Ternate, Indonesia",earthquake,5.8,4.4,0.066,22,reviewed,us,us
2020-04-14T01:06:47.913Z,2020-04-14,-30.3889,-176.3478,31,6,mww,,14,1.785,0.71,us,us70008vsp,2020-06-30T14:03:07.040Z,"194km SE of Raoul Island, New Zealand",earthquake,7.4,1.8,0.042,54,reviewed,us,us
2020-04-08T10:02:32.491Z,2020-04-08,-15.7188,-177.5486,422,5.5,mww,,32,1.508,0.84,us,us70008rje,2020-06-30T14:02:45.040Z,"170km SSE of Sigave, Wallis and Futuna",earthquake,10.3,1.9,0.075,17,reviewed,us,us
2020-04-05T18:37:10.876Z,2020-04-05,1.395,126.4381,42,6,mww,,31,1.115,1.23,us,us70008peg,2020-06-21T00:55:06.040Z,"123km WNW of Kota Ternate, Indonesia",earthquake,6.6,1.9,0.06,27,reviewed,us,us
2020-04-02T02:13:11.964Z,2020-04-02,-7.9349,125.7018,16.19,5.5,mww,,27,2.298,0.95,us,us70008l5g,2020-06-21T00:54:36.040Z,"70km NNE of Dili, East Timor",earthquake,6.6,3.2,0.066,22,reviewed,us,us
2020-03-29T18:19:14.153Z,2020-03-29,-21.4233,169.485,10,5.7,mww,,100,1.356,1.04,us,us70008ide,2020-06-13T18:44:35.040Z,"166km E of Tadine, New Caledonia",earthquake,4.9,1.8,0.05,38,reviewed,us,us
2020-03-28T17:48:16.243Z,2020-03-28,-17.8156,168.3388,84,5.8,mww,,31,3.657,1.29,us,us70008hwi,2020-06-13T18:44:30.040Z,"9km S of Port-Vila, Vanuatu",earthquake,7.2,1.9,0.046,46,reviewed,us,us
2020-03-28T15:43:17.479Z,2020-03-28,-1.7144,120.1775,10,5.9,mww,,36,2.678,1.19,us,us70008hvb,2020-06-13T18:44:34.040Z,"62km WSW of Kasiguncu, Indonesia",earthquake,6,1.8,0.047,43,reviewed,us,us
2020-03-27T14:32:48.194Z,2020-03-27,0.1747,133.5831,10,5.6,mww,,62,3.35,0.96,us,us70008h8n,2020-06-13T18:44:41.040Z,"127km NNW of Manokwari, Indonesia",earthquake,8.7,1.8,0.073,18,reviewed,us,us
2020-03-26T21:36:42.248Z,2020-03-26,-2.9507,139.1131,38,5.7,mww,,13,6.855,0.8,us,us70008gtk,2020-06-13T18:44:41.040Z,"167km WSW of Abepura, Indonesia",earthquake,7.2,1.8,0.071,19,reviewed,us,us
2020-03-26T15:38:04.089Z,2020-03-26,5.5669,125.0521,59,6.1,mww,,11,1.582,1.34,us,us70008ghw,2020-10-03T05:19:46.342Z,"27km SW of Burias, Philippines",earthquake,4.1,1.7,0.038,67,reviewed,us,us
2020-03-23T20:33:39.220Z,2020-03-23,-25.281,179.7207,506.13,5.5,mww,,42,4.468,1.21,us,us70008eri,2020-06-06T20:54:12.040Z,South of the Fiji Islands,earthquake,8.2,5.2,0.093,11,reviewed,us,us
2020-03-18T17:45:39.299Z,2020-03-18,-11.0521,115.1378,20.68,6.2,mww,,24,2.743,1.19,us,us60008hzl,2020-06-06T20:53:49.040Z,"245km S of Kangin, Indonesia",earthquake,7.1,3.1,0.038,65,reviewed,us,us
2020-03-18T05:31:33.938Z,2020-03-18,-11.0517,164.4588,10,5.5,mww,,22,4.72,1.07,us,us60008hml,2020-06-06T20:53:46.040Z,"154km WSW of Lata, Solomon Islands",earthquake,8.5,1.7,0.052,36,reviewed,us,us
2020-03-18T03:13:45.742Z,2020-03-18,-13.1364,167.0277,176,6.1,mww,,23,2.303,0.8,us,us60008hkg,2020-06-06T20:53:45.040Z,"100km NW of Sola, Vanuatu",earthquake,8.5,1.8,0.043,51,reviewed,us,us
2020-03-14T10:05:15.903Z,2020-03-14,-36.545,178.8162,48.06,5.8,mww,,55,1.094,0.74,us,us60008hpv,2020-05-30T22:17:19.040Z,"218km NE of Opotiki, New Zealand",earthquake,9.4,2.8,0.073,18,reviewed,us,us
2020-03-10T14:06:26.665Z,2020-03-10,-5.837,103.0187,26.18,5.7,mww,,48,1.468,0.78,us,us60008d51,2020-05-23T22:03:30.040Z,"121km SW of Kuripan, Indonesia",earthquake,7.6,3.9,0.062,25,reviewed,us,us
