time,date,year,month,month,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,country,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-16T14:26:19.620Z,2018-12-16,2018,12,2018-12,-23.3226,112.4979,10,5.8,mww,,43,1.737,0.76,us,us2000iu4a,2020-07-10T17:19:19.164Z,206km NW of Carnarvon, Australia,earthquake,6,1.7,0.051,37,reviewed,us,us
2018-11-21T15:58:50.300Z,2018-11-21,2018,11,2018-11,-33.2585,136.923,10,4.2,mb,,139,0.852,0.71,us,us1000hxfr,2019-02-02T20:02:31.040Z,62km NE of Cleve, Australia,earthquake,7.4,1.9,0.215,7,reviewed,us,us
2018-11-08T21:07:01.300Z,2018-11-08,2018,11,2018-11,-34.3508,116.8388,10,5.2,mww,,61,1.458,0.97,us,us1000hpej,2019-01-21T16:42:51.040Z,64km ESE of Manjimup, Australia,earthquake,4.4,1.8,0.089,12,reviewed,us,us
2018-10-12T16:31:30.360Z,2018-10-12,2018,10,2018-10,-34.3495,116.8696,10,4.5,mb,,151,1.451,1.26,us,us1000hb52,2018-12-21T21:15:50.040Z,62km SSW of Kojonup, Australia,earthquake,7.9,1.9,0.121,20,reviewed,us,us
2018-09-16T04:56:25.520Z,2018-09-16,2018,09,2018-09,-34.3146,116.759,10,5.3,mww,,42,1.44,1.39,us,us2000hfcw,2018-11-21T18:19:12.040Z,56km E of Manjimup, Australia,earthquake,8.8,1.7,0.083,14,reviewed,us,us
2018-09-14T21:51:47.260Z,2018-09-14,2018,09,2018-09,-32.3666,150.801,10,3.9,mb,,186,2.067,0.39,us,us2000hg1x,2018-11-21T18:19:13.040Z,11km E of Denman, Australia,earthquake,10.1,2,0.258,4,reviewed,us,us
2018-08-08T14:19:15.940Z,2018-08-08,2018,08,2018-08,-32.3586,122.4347,10.35,4.1,mb,,84,4.419,0.73,us,us1000g5gz,2018-10-17T18:11:58.040Z,174km NNE of Esperance, Australia,earthquake,7.2,6.3,0.184,8,reviewed,us,us
2018-08-08T11:01:39.000Z,2018-08-08,2018,08,2018-08,-34.877,139.184,13,3.2,ml,,,,0.2,us,us1000g5at,2018-10-17T18:11:56.040Z,12km WNW of Mannum, Australia,earthquake,8.5,4.7,,,reviewed,aust,aust
2018-07-23T13:48:30.160Z,2018-07-23,2018,07,2018-07,-35.9718,144.2409,10,3,ml,,144,1.885,1.14,us,us2000gc5e,2018-10-09T16:43:32.040Z,49km WNW of Echuca, Australia,earthquake,9.1,2,0.148,6,reviewed,us,us
2018-07-09T12:45:32.590Z,2018-07-09,2018,07,2018-07,-33.1295,138.5629,8.55,3.3,ml,,148,2.128,1.27,us,us2000g0qi,2018-10-02T16:40:31.040Z,8km NNW of Jamestown, Australia,earthquake,8.4,7.5,0.256,2,reviewed,us,us
2018-07-01T02:27:39.470Z,2018-07-01,2018,07,2018-07,-33.618,136.7729,10,3.9,ml,,167,1.003,0.39,us,us2000ftar,2018-09-21T16:25:58.040Z,26km ENE of Cleve, Australia,earthquake,8,2,0.256,2,reviewed,us,us
2018-06-20T02:54:32.190Z,2018-06-20,2018,06,2018-06,-32.413,122.4811,8.11,4.5,mb,,74,4.45,0.69,us,us1000ew2s,2018-09-19T15:15:50.040Z,170km NNE of Esperance, Australia,earthquake,7.3,4.5,0.145,14,reviewed,us,us
2018-06-18T06:26:49.110Z,2018-06-18,2018,06,2018-06,-26.0891,121.5452,10,4.5,mb,,58,4.757,0.93,us,us1000eu88,2018-09-19T15:15:47.040Z,294km NNW of Laverton, Australia,earthquake,8.6,1.9,0.18,9,reviewed,us,us
2018-01-10T21:31:56.280Z,2018-01-10,2018,01,2018-01,-18.867,123.3303,10,4,mb,,168,2.321,1.39,us,us2000cnw0,2018-04-03T01:40:25.040Z,152km SE of Broome, Australia,earthquake,7.9,2,0.3,3,reviewed,us,us
2017-08-31T17:45:29.040Z,2017-08-31,2017,08,2017-08,-25.7102,129.9133,10,4.3,mb,,53,4.161,0.86,us,us2000arkc,2017-11-28T18:33:55.040Z,Northern Territory, Australia,earthquake,3.9,2,0.239,5,reviewed,us,us
