time,date,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,country,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-09T08:32:52.323Z,2019-11-09,14.5086,-90.2743,200,5.5,mww,,101,0.891,1.01,us,us600069n1,2020-02-01T23:22:08.040Z,9km WSW of Mataquescuintla, Guatemala,7.7,1.9,0.038,65,reviewed,us,us
2019-11-08T10:44:44.338Z,2019-11-08,-21.9449,-179.5113,577,6.5,mww,,25,4.765,0.83,us,us6000693m,2020-02-01T23:21:56.040Z,166km SSW of Ndoi Island, Fiji,9.2,1.9,0.042,55,reviewed,us,us
2019-11-08T09:41:14.601Z,2019-11-08,-15.7806,-172.8512,43,5.8,mww,,44,2.13,1.04,us,us6000692t,2020-02-01T23:21:56.040Z,98km E of Hihifo, Tonga,7.9,1.9,0.069,20,reviewed,us,us
2019-11-07T22:47:07.041Z,2019-11-07,37.8026,47.5814,20,5.9,mww,,20,2.752,0.67,us,us600068w0,2020-07-10T17:36:20.067Z,59km NE of Hashtrud, Iran,6.5,1.7,0.059,28,reviewed,us,us
2019-11-06T20:52:54.686Z,2019-11-06,14.8741,122.7951,6.6,5.6,mww,,30,1.956,1.23,us,us7000645k,2020-02-01T23:21:42.040Z,49km ENE of Jomalig, Philippines,7.1,3.9,0.052,36,reviewed,us,us
2019-11-06T00:39:09.303Z,2019-11-06,-13.7208,167.8086,10,6,mww,,36,1.813,1.07,us,us700063sp,2020-07-10T17:52:35.122Z,33km ENE of Sola, Vanuatu,8,1.7,0.061,26,reviewed,us,us
2019-11-05T23:17:26.588Z,2019-11-05,-13.7988,167.7494,19,6,mww,,38,1.721,0.9,us,us700063rx,2020-07-10T17:52:20.510Z,23km ENE of Sola, Vanuatu,9.2,1.8,0.065,23,reviewed,us,us
2019-11-05T20:52:01.485Z,2019-11-05,-57.9236,-9.3217,10,6.3,mww,,30,14.063,1.42,us,us700063mh,2020-02-01T23:21:37.040Z,East of the South Sandwich Islands,,10,1.7,0.048,41,reviewed,us,us
2019-11-04T22:46:10.736Z,2019-11-04,-18.5973,-175.7007,10,5.5,mb,,88,5.488,0.99,us,us7000635n,2020-01-18T20:00:58.040Z,181km W of Neiafu, Tonga,12.8,1.8,0.07,70,reviewed,us,us
2019-11-04T22:43:32.280Z,2019-11-04,-18.5747,-175.272,10,6.6,mww,,48,5.086,0.93,us,us7000635e,2020-01-18T20:00:58.040Z,136km W of Neiafu, Tonga,8.3,1.8,0.04,61,reviewed,us,us
2019-11-04T21:53:25.320Z,2019-11-04,-31.8362,-71.3753,53,6.1,mww,,23,0.707,1.14,us,us70006345,2020-07-10T17:52:09.617Z,30km SW of Illapel, Chile,4.7,1.8,0.057,30,reviewed,us,us
2019-11-03T13:23:18.432Z,2019-11-03,-29.1642,-67.6662,120,5.6,mww,,48,2.264,0.93,us,us700062je,2020-01-18T20:00:57.040Z,16km W of Chilecito, Argentina,4.6,1.9,0.04,60,reviewed,us,us
2019-11-02T18:08:41.113Z,2019-11-02,-55.735,-26.2399,8,6.1,mww,,23,6.073,1.3,us,us700062cg,2020-01-18T20:00:55.040Z,122km NNE of Visokoi Island, South Georgia and the South Sandwich Islands,8.7,1.6,0.05,38,reviewed,us,us
2019-11-01T02:33:58.542Z,2019-11-01,3.2144,126.9855,28.09,5.6,mww,,45,2.456,1.16,us,us700061vl,2020-01-18T20:00:51.040Z,199km NW of Tobelo, Indonesia,6.8,3.6,0.089,12,reviewed,us,us
2019-10-31T01:11:19.146Z,2019-10-31,6.9098,125.1782,10,6.5,mww,,19,0.428,0.76,us,us700061e9,2020-07-10T17:51:48.013Z,2km ESE of Kisante, Philippines,7,1.7,0.043,51,reviewed,us,us
2019-10-29T08:44:08.600Z,2019-10-29,-6.311,154.8367,54.26,5.8,mww,,15,3.394,1.09,us,us600064al,2020-01-18T20:00:37.040Z,71km W of Panguna, Papua New Guinea,6.6,4,0.062,25,reviewed,us,us
2019-10-29T08:16:31.018Z,2019-10-29,-23.342,-177.0376,153.35,5.5,mww,,37,5.933,1.22,us,us600064a5,2020-01-18T20:00:37.040Z,South of the Fiji Islands,,7.9,3.6,0.062,25,reviewed,us,us
2019-10-29T02:42:38.284Z,2019-10-29,6.8659,124.9846,10,5.9,mww,,23,0.623,0.89,us,us60006470,2020-07-10T17:36:07.155Z,8km E of Bagontapay, Philippines,5.8,1.8,0.055,32,reviewed,us,us
2019-10-29T01:09:01.253Z,2019-10-29,6.7869,125.0186,14.1,5.6,mb,,45,0.623,0.73,us,us70006424,2020-07-10T17:52:47.660Z,11km E of Bual, Philippines,3.7,3.8,0.061,95,reviewed,us,us
2019-10-29T01:04:43.879Z,2019-10-29,6.7567,125.0082,15,6.6,mww,,24,0.646,0.78,us,us6000645n,2020-10-03T04:44:49.510Z,10km NE of Columbio, Philippines,5.7,1.8,0.043,52,reviewed,us,us
2019-10-26T00:41:25.501Z,2019-10-26,52.3233,-170.1665,35,5.8,mww,,31,0.537,0.88,us,us6000632m,2020-10-17T00:51:31.670Z,49km SE of Yunaska Island, Alaska,5.3,1.8,0.047,43,reviewed,us,us
2019-10-24T19:14:16.627Z,2019-10-24,-28.5205,-177.0475,70,5.7,mww,,41,1.057,1.34,us,us600062n7,2020-01-11T21:26:35.040Z,117km NE of Raoul Island, New Zealand,7.8,1.9,0.056,31,reviewed,us,us
2019-10-24T13:38:16.637Z,2019-10-24,1.1847,124.2015,241,5.6,mww,,35,2.633,1.06,us,us6000624h,2020-01-11T21:26:34.040Z,22km NNW of Poigar, Indonesia,7,1.9,0.044,49,reviewed,us,us
2019-10-24T10:50:15.535Z,2019-10-24,-17.6277,-172.7046,10,5.5,mww,,40,3.005,1.47,us,us6000624a,2020-01-11T21:26:34.040Z,176km NE of Neiafu, Tonga,7.2,1.7,0.066,22,reviewed,us,us
2019-10-23T16:08:14.497Z,2019-10-23,-1.0987,-13.8367,10,6.3,mww,,18,6.716,0.92,us,us70005xr7,2020-01-11T21:26:30.040Z,North of Ascension Island,,8.9,1.8,0.063,24,reviewed,us,us
2019-10-22T19:15:28.893Z,2019-10-22,-2.8648,138.3001,10,5.5,mww,,26,2.426,0.67,us,us70005xa1,2020-07-10T17:51:36.826Z,245km ENE of Enarotali, Indonesia,6.9,1.8,0.071,19,reviewed,us,us
2019-10-22T04:18:41.956Z,2019-10-22,-15.1698,-173.0068,29,5.9,mww,,24,1.728,0.88,us,us70005x1t,2020-01-11T21:26:21.040Z,117km NE of Hihifo, Tonga,7.1,1.8,0.089,12,reviewed,us,us
2019-10-21T10:58:52.650Z,2019-10-21,27.2259,55.0039,9,5.5,mww,,23,2.514,1.04,us,us70005wp5,2020-07-10T17:51:25.297Z,75km N of Bandar-e Lengeh, Iran,7,1.8,0.063,24,reviewed,us,us
2019-10-21T02:52:29.674Z,2019-10-21,-19.0184,169.4883,231,6.4,mww,,23,2.806,0.91,us,us70005wj6,2020-01-03T16:09:41.040Z,63km NNE of Isangel, Vanuatu,7.1,0.8,0.035,78,reviewed,us,us
2019-10-19T20:31:55.464Z,2019-10-19,-18.9154,178.0608,17.49,5.7,mww,,37,1.164,0.84,us,us70005w2i,2020-07-10T17:51:14.714Z,94km SSW of Suva, Fiji,6.6,3.1,0.06,27,reviewed,us,us
2019-10-17T19:34:07.583Z,2019-10-17,-2.8993,141.6309,20.12,5.5,mww,,17,1.001,0.82,us,us70005v4h,2020-07-10T17:51:03.696Z,44km SE of Vanimo, Papua New Guinea,6.6,3.4,0.065,23,reviewed,us,us
2019-10-16T11:37:06.342Z,2019-10-16,6.7147,125.007,16.12,6.4,mww,,33,0.668,0.85,us,us70005ulm,2020-10-03T04:55:56.212Z,7km ENE of Columbio, Philippines,6.4,4.2,0.043,53,reviewed,us,us
2019-10-14T22:23:54.247Z,2019-10-14,-4.482,101.1948,19,5.9,mww,,33,1.759,0.77,us,us70005u76,2019-12-28T20:45:49.040Z,140km WSW of Bengkulu, Indonesia,6,1.8,0.073,18,reviewed,us,us
2019-10-14T21:33:22.184Z,2019-10-14,-55.7997,-27.076,19,5.5,mww,,46,5.621,0.79,us,us70005u6q,2019-12-28T20:45:53.040Z,100km N of Visokoi Island, South Georgia and the South Sandwich Islands,9.7,1.7,0.086,13,reviewed,us,us
2019-10-13T06:09:02.682Z,2019-10-13,-56.3302,-26.1992,19.6,5.5,mww,,33,6.223,0.7,us,us70005ttv,2019-12-28T20:45:49.040Z,74km ENE of Visokoi Island, South Georgia and the South Sandwich Islands,4.3,3.4,0.073,18,reviewed,us,us
2019-10-10T03:18:03.744Z,2019-10-10,-57.9578,157.3779,10,5.6,mww,,45,13.105,0.72,us,us70005svg,2019-12-28T20:45:49.040Z,Macquarie Island region,,10.2,1.8,0.083,14,reviewed,us,us
2019-10-09T20:22:51.374Z,2019-10-09,-35.0474,-179.3268,10,5.6,mww,,58,3.154,0.91,us,us70005sqk,2019-12-28T20:45:48.040Z,East of the North Island of New Zealand,,4.8,1.8,0.05,39,reviewed,us,us
2019-10-09T05:44:46.324Z,2019-10-09,-57.9319,-139.1827,10,5.5,mww,,148,26.755,0.48,us,us70005sih,2019-12-28T20:45:50.040Z,Pacific-Antarctic Ridge,,7.1,1.9,0.075,17,reviewed,us,us
2019-10-06T10:40:56.391Z,2019-10-06,-21.9343,-68.5934,119,5.7,mww,,34,0.617,0.96,us,us70005r9l,2019-12-27T15:50:50.040Z,68km NNE of Calama, Chile,6.1,1.9,0.052,35,reviewed,us,us
2019-10-03T14:33:04.087Z,2019-10-03,-2.6511,138.3412,13.26,5.6,mww,,19,6.091,0.87,us,us70005q83,2020-07-10T17:49:51.679Z,249km W of Abepura, Indonesia,7.8,3.7,0.061,26,reviewed,us,us
2019-10-01T19:57:09.995Z,2019-10-01,-55.2581,158.5515,10,5.5,mww,,53,10.452,0.68,us,usd000b35a,2019-12-27T15:49:44.040Z,89km SSW of Macquarie Island, Australia,10.4,1.8,0.059,28,reviewed,us,us
2019-10-01T03:56:07.115Z,2019-10-01,-55.9278,-122.5586,10,6,mww,,50,27.632,0.8,us,us70005p73,2019-12-27T15:49:34.040Z,Southern East Pacific Rise,,11.5,1,0.063,24,reviewed,us,us
2019-09-30T11:53:22.983Z,2019-09-30,-22.1911,-68.799,117,5.6,mww,,36,0.568,1.3,us,us70005nud,2019-12-20T19:04:01.040Z,33km NNE of Calama, Chile,4.6,1.8,0.043,51,reviewed,us,us
2019-09-29T15:57:53.236Z,2019-09-29,-35.4758,-73.163,11,6.7,mww,,98,1.269,0.65,us,us70005nie,2020-07-10T17:49:14.450Z,69km WSW of Constitucion, Chile,3,1.8,0.04,61,reviewed,us,us
2019-09-29T02:02:51.883Z,2019-09-29,5.6756,126.5481,73,6.2,mww,,16,1.686,1.33,us,us70005nbb,2019-12-20T19:03:35.040Z,86km SSE of Pondaguitan, Philippines,7.2,1.8,0.036,73,reviewed,us,us
